dataset,algorithm,MAE_mean10,MAE_sd10,MAE_cv_percent,MAE_min10,MAE_max10,MAE_seed42,seed42_position_low_to_high
COCOMO81,LR,195566.6927181017,294603.6167033441,150.64099750768835,39384.24539675509,995510.1785042512,63492.015245469345,3
COCOMO81,DT,564.6267380952384,122.98954613074177,21.782451632674277,394.87619047619035,792.4680952380957,792.4680952380957,10
COCOMO81,RF,442.83133973070187,13.404066959778813,3.0269011601415117,427.50873380185504,465.44218477032007,458.6487471559634,9
COCOMO81,KNN,579.4657144190462,15.778595094504134,2.7229557680255936,546.5557729427368,601.7850253399822,567.6064793261012,3
COCOMO81,SVR,592.0890881365134,12.489661847596542,2.109422736856265,576.9852086063794,612.4676668250721,582.1127245676031,3
NASA93,LR,1897.9539213762484,1115.0332569808377,58.7492269660742,882.7292843740628,4683.355837563575,882.7292843740628,1
NASA93,DT,412.20206194529976,23.86504619044819,5.789647455382001,385.35229024326173,466.6053333333333,422.9173278856022,8
NASA93,RF,298.59888058667866,12.237902958999058,4.09844234343892,283.0495227763796,317.71997361282234,312.5489667579249,9
NASA93,KNN,429.51520544176253,12.24951212845741,2.8519391102484044,412.52477887740497,453.65747861342817,434.54871880948195,7
NASA93,SVR,388.4106324701071,8.402290535454167,2.163249363700368,376.99047976384486,402.36043705750745,399.5775840456074,9
Desharnais,LR,2001.8753498023154,73.77180522144529,3.685134802660427,1890.297796135724,2106.4552857508875,1917.3252455041318,2
Desharnais,DT,2506.6310714285714,137.19817314123995,5.4734090989723665,2286.3178571428575,2670.7500000000005,2607.2321428571427,7
Desharnais,RF,1982.8086078580466,43.96040956198001,2.217077805077152,1890.9954340149502,2031.8509385672212,1945.3945162465625,2
Desharnais,KNN,1981.0103655070805,54.423621372944915,2.7472658558762295,1907.1150132006085,2065.854763375516,2062.7138328452597,9
Desharnais,SVR,1958.4339568013802,42.01705604130334,2.1454415603540626,1909.5694360499124,2037.0917702577094,1909.5694360499124,1
