spec,dataset,pair,median_AE_first,median_AE_second,A12_first_lower_error,cliffs_delta,magnitude,paired_win_rate_first
semilog,COCOMO81,LR-DT,67.24970271690381,78.99999999999994,0.5076845553036029,0.015369110607205805,negligible,0.5079365079365079
semilog,COCOMO81,LR-RF,67.24970271690381,63.218574183453086,0.4409171075837742,-0.11816578483245155,negligible,0.42857142857142855
semilog,COCOMO81,LR-KNN,67.24970271690381,91.36458998328334,0.5197782816830436,0.03955656336608726,negligible,0.6507936507936508
semilog,COCOMO81,LR-SVR,67.24970271690381,84.40496103523077,0.5187704711514235,0.03754094230284699,negligible,0.6507936507936508
semilog,COCOMO81,DT-RF,78.99999999999994,63.218574183453086,0.4394053917863442,-0.12118921642731162,small,0.31746031746031744
semilog,COCOMO81,DT-KNN,78.99999999999994,91.36458998328334,0.5112118921642731,0.022423784328546192,negligible,0.6031746031746031
semilog,COCOMO81,DT-SVR,78.99999999999994,84.40496103523077,0.5122197026958931,0.02443940539178624,negligible,0.5238095238095238
semilog,COCOMO81,RF-KNN,63.218574183453086,91.36458998328334,0.5744520030234316,0.14890400604686316,small,0.6666666666666666
semilog,COCOMO81,RF-SVR,63.218574183453086,84.40496103523077,0.5749559082892416,0.14991181657848318,small,0.6825396825396826
semilog,COCOMO81,KNN-SVR,91.36458998328334,84.40496103523077,0.4930713025951121,-0.01385739480977577,negligible,0.42857142857142855
semilog,NASA93,LR-DT,110.59886547099069,109.99999999999997,0.46271245230662505,-0.07457509538674989,negligible,0.45161290322580644
semilog,NASA93,LR-RF,110.59886547099069,68.90451826411504,0.40443981963232745,-0.1911203607353451,small,0.34408602150537637
semilog,NASA93,LR-KNN,110.59886547099069,142.5894226767109,0.5006359116660886,0.0012718233321771244,negligible,0.5268817204301075
semilog,NASA93,LR-SVR,110.59886547099069,141.36205196267974,0.5153196901375882,0.03063938027517632,negligible,0.5161290322580645
semilog,NASA93,DT-RF,109.99999999999997,68.90451826411504,0.4569314371603654,-0.08613712567926923,negligible,0.40860215053763443
