dataset,worst_fold,fold_MAE_LR_semilog,median_fold_MAE_LR_semilog,project_row,size[loc],actual,LR_pred_raw,LR_pred_semilog,LR_pred_loglog,RF_pred_semilog,size[equivphyskloc],size[PointsAdjust],size[PointsNonAjust]
COCOMO81,9,630800.514792335,315.75600585102666,10,32.0,218.0,-178.17225290078397,70.01224923589257,154.2050190183034,257.2637795708959,,,
COCOMO81,9,630800.514792335,315.75600585102666,18,1150.0,6600.0,9500.66148135793,3789077.4058119254,5381.377532499245,837.2736523720096,,,
COCOMO81,9,630800.514792335,315.75600585102666,20,252.0,2455.0,2657.598963798371,762.0143776651131,1154.2537841255462,1433.8516599350678,,,
COCOMO81,9,630800.514792335,315.75600585102666,22,77.0,539.0,632.4447004371768,94.2831537375451,325.3315113960327,274.4526066075558,,,
COCOMO81,9,630800.514792335,315.75600585102666,52,5.3,14.0,114.2119272746989,48.18479226999778,19.77577875056659,48.89624694085498,,,
COCOMO81,9,630800.514792335,315.75600585102666,62,10.0,15.0,-864.4454863542566,20.807930453002868,13.417229298814988,23.904654130044094,,,
NASA93,8,5919.61789602378,354.70814374880763,32,,18.0,-70.30884910811506,47.336321115886534,21.59623142202971,15.963089110481897,5.5,,
NASA93,8,5919.61789602378,354.70814374880763,41,,2400.0,2787.3699000269303,1341.1526668262838,2294.620988698664,1055.056454345247,302.0,,
NASA93,8,5919.61789602378,354.70814374880763,48,,107.0,432.25750311878824,93.07511683593398,108.63405839024121,157.3036386459716,21.0,,
NASA93,8,5919.61789602378,354.70814374880763,57,,8.4,-101.22563500250385,45.5559281813554,5.631900595874464,12.37667137812933,0.9,,
NASA93,8,5919.61789602378,354.70814374880763,58,,4560.0,6170.158716878033,50019.79435850461,3323.650992448155,2845.043474871335,980.0,,
NASA93,8,5919.61789602378,354.70814374880763,59,,720.0,1453.2598899152874,6093.957794055733,1265.3290765414094,961.2371458187645,350.0,,
NASA93,8,5919.61789602378,354.70814374880763,81,,480.0,1396.1801474950983,728.0112643896783,686.2652890809187,622.2975836531841,53.0,,
NASA93,8,5919.61789602378,354.70814374880763,84,,4178.2,3213.2343475874272,3611.6504774272025,4627.592950995967,2840.2213488657876,165.0,,
NASA93,8,5919.61789602378,354.70814374880763,88,,648.0,-1328.8254198224543,159.0163409438179,43.56141884295939,53.96450565728337,7.25,,
Desharnais,5,2586.3739965270743,2103.404433902656,3,,3829.0,4681.616614038166,4190.2739785818,4345.19523338863,5153.232360525084,,319.0,303.0
Desharnais,5,2586.3739965270743,2103.404433902656,13,,4172.0,4571.898935685224,3879.358148578363,4101.7313212648805,3236.8736473776535,,223.0,216.0
Desharnais,5,2586.3739965270743,2103.404433902656,19,,840.0,1857.0455724184126,2269.092812718244,1776.6765564755488,2164.5979556756242,,92.0,86.0
Desharnais,5,2586.3739965270743,2103.404433902656,25,,3164.0,5812.7595299493705,5158.96609358776,5294.643726434526,4635.30620681417,,316.0,310.0
Desharnais,5,2586.3739965270743,2103.404433902656,42,,6699.0,6993.3299654585435,6202.699391674309,6645.161105809207,7773.188311855232,,308.0,308.0
Desharnais,5,2586.3739965270743,2103.404433902656,55,,2723.0,3329.9515717614163,2404.5871293256905,2548.3128068315214,1702.5444392272468,,176.0,139.0
Desharnais,5,2586.3739965270743,2103.404433902656,64,,1267.0,3980.3360426724066,2883.0806331073445,1887.0862307756847,1903.4950101840654,,73.0,67.0
Desharnais,5,2586.3739965270743,2103.404433902656,76,,23940.0,15670.722083822886,38122.223123799806,18332.16642301802,8512.17600214408,,1127.0,1116.0
