dataset,spec,seed,LR_mean_MAE,LR_max_fold_MAE,worst_project_row,worst_project_actual,worst_project_pred,size[loc],size[equivphyskloc],size[PointsAdjust],size[PointsNonAjust]
COCOMO81,raw,42,975.2553949870464,1545.5513259601146,17,11400.0,2537.185662853488,320.0,,,
COCOMO81,raw,43,968.783039145085,1940.2826736254103,17,11400.0,2670.2033622274807,320.0,,,
COCOMO81,raw,44,976.0692178945152,2642.752297800224,17,11400.0,2635.247411858766,320.0,,,
COCOMO81,raw,45,945.1206151523011,2049.6189158551,17,11400.0,2512.3071021581645,320.0,,,
COCOMO81,raw,46,1004.1841599232375,1863.9987564640844,17,11400.0,2316.8440674765584,320.0,,,
COCOMO81,raw,47,970.8313955243632,2184.946790802564,17,11400.0,2668.93437400133,320.0,,,
COCOMO81,raw,48,990.4549971152499,1938.2314999344908,17,11400.0,2402.558161748822,320.0,,,
COCOMO81,raw,49,990.8935780716818,2261.797447268674,17,11400.0,2288.9751185489536,320.0,,,
COCOMO81,raw,50,1069.5480056753247,1894.055422866511,17,11400.0,2523.6026863914885,320.0,,,
COCOMO81,raw,51,925.508687987016,1819.02117685312,17,11400.0,2482.1834792791087,320.0,,,
COCOMO81,semilog,42,63492.015245469345,630800.514792335,18,6600.0,3789077.4058119254,1150.0,,,
COCOMO81,semilog,43,57835.73895066624,573444.5642855444,18,6600.0,4020522.021556195,1150.0,,,
COCOMO81,semilog,44,349161.8118830742,3487385.8968008882,18,6600.0,20922348.978039313,1150.0,,,
COCOMO81,semilog,45,118530.7622342365,1181113.6175329252,18,6600.0,8270659.002304988,1150.0,,,
COCOMO81,semilog,46,90253.42055736837,897665.4837132711,18,6600.0,5392122.144276839,1150.0,,,
COCOMO81,semilog,47,77049.89385029064,765244.2595583099,18,6600.0,5362480.292156881,1150.0,,,
COCOMO81,semilog,48,77249.67497211247,768429.9827225888,18,6600.0,4616302.758596357,1150.0,,,
COCOMO81,semilog,49,87199.18558679288,867751.9611162682,18,6600.0,5212776.247601516,1150.0,,,
COCOMO81,semilog,50,995510.1785042512,9951291.363738252,18,6600.0,69653779.27987859,1150.0,,,
COCOMO81,semilog,51,39384.24539675509,389031.3742283595,18,6600.0,2339792.2415639595,1150.0,,,
COCOMO81,loglog,42,268.95029847771883,756.0249262037815,17,11400.0,6679.0611446916955,320.0,,,
COCOMO81,loglog,43,284.833814723743,915.2287281947428,17,11400.0,6363.219959147634,320.0,,,
COCOMO81,loglog,44,282.88671533982017,692.7650654308366,17,11400.0,6783.473803287963,320.0,,,
COCOMO81,loglog,45,278.7863190485888,1423.654114166375,17,11400.0,5806.238611488643,320.0,,,
COCOMO81,loglog,46,289.04719723361063,1064.758957160546,17,11400.0,5939.586837484284,320.0,,,
COCOMO81,loglog,47,250.3675331083591,1004.9677893692351,17,11400.0,6489.431423414533,320.0,,,
COCOMO81,loglog,48,288.48973716784474,1055.9381644561515,17,11400.0,5664.777639790938,320.0,,,
COCOMO81,loglog,49,248.7117694937299,1190.6469829574464,17,11400.0,7028.1786442998655,320.0,,,
COCOMO81,loglog,50,298.4042778535186,850.3262244032304,17,11400.0,6050.359071707672,320.0,,,
COCOMO81,loglog,51,329.8899607190159,1223.0107375765658,17,11400.0,5453.40726319325,320.0,,,
NASA93,raw,42,438.02325191896,901.2137482949418,89,8211.0,2858.3349098253802,,233.0,,
NASA93,raw,43,471.20581450477005,874.3217880410643,89,8211.0,2628.6337584366333,,233.0,,
NASA93,raw,44,424.0597214894325,844.2243460211114,89,8211.0,2690.1022705369573,,233.0,,
