spec,dataset,pair,rank_difference,exceeds_CD,nemenyi_p
semilog,COCOMO81,LR-DT,0.0,False,1.0
semilog,COCOMO81,LR-RF,1.6999999999999997,False,0.11411195317359502
semilog,COCOMO81,LR-KNN,0.30000000000000027,False,0.9932470998209948
semilog,COCOMO81,LR-SVR,0.09999999999999964,False,0.9999102168567932
semilog,COCOMO81,DT-RF,1.6999999999999997,False,0.11411195317359502
semilog,COCOMO81,DT-KNN,0.30000000000000027,False,0.9932470998209948
semilog,COCOMO81,DT-SVR,0.09999999999999964,False,0.9999102168567932
semilog,COCOMO81,RF-KNN,2.0,True,0.03769606822054161
semilog,COCOMO81,RF-SVR,1.6,False,0.15711465685912285
semilog,COCOMO81,KNN-SVR,0.3999999999999999,False,0.9799833382926707
semilog,NASA93,LR-DT,0.10000000000000009,False,0.9999102168567932
semilog,NASA93,LR-RF,1.8,False,0.08083088343226463
semilog,NASA93,LR-KNN,0.2999999999999998,False,0.9932470998209948
semilog,NASA93,LR-SVR,0.5,False,0.9549548551886442
semilog,NASA93,DT-RF,1.9000000000000001,False,0.05586808458754888
semilog,NASA93,DT-KNN,0.3999999999999999,False,0.9799833382926707
semilog,NASA93,DT-SVR,0.6000000000000001,False,0.9153201820711789
semilog,NASA93,RF-KNN,1.5000000000000002,False,0.21087650496353783
semilog,NASA93,RF-SVR,1.3,False,0.35129450676930685
semilog,NASA93,KNN-SVR,0.20000000000000018,False,0.9986029912287665
semilog,Desharnais,LR-DT,2.2,True,0.015994970542026254
semilog,Desharnais,LR-RF,0.30000000000000027,False,0.9932470998209948
semilog,Desharnais,LR-KNN,0.9000000000000004,False,0.708012695885618
semilog,Desharnais,LR-SVR,0.10000000000000009,False,0.9999102168567932
semilog,Desharnais,DT-RF,1.9,False,0.05586808458754888
semilog,Desharnais,DT-KNN,1.2999999999999998,False,0.35129450676930696
semilog,Desharnais,DT-SVR,2.1,True,0.02484121553783003
semilog,Desharnais,RF-KNN,0.6000000000000001,False,0.9153201820711789
semilog,Desharnais,RF-SVR,0.20000000000000018,False,0.9986029912287665
semilog,Desharnais,KNN-SVR,0.8000000000000003,False,0.7899347047077389
loglog,COCOMO81,LR-DT,2.4,True,0.006195940916914777
loglog,COCOMO81,LR-RF,0.8999999999999999,False,0.7080126958856183
loglog,COCOMO81,LR-KNN,2.8,True,0.0007154604626948835
loglog,COCOMO81,LR-SVR,1.4,False,0.2757850024096641
loglog,COCOMO81,DT-RF,1.5,False,0.21087650496353805
loglog,COCOMO81,DT-KNN,0.3999999999999999,False,0.9799833382926707
loglog,COCOMO81,DT-SVR,1.0,False,0.6184494805509919
loglog,COCOMO81,RF-KNN,1.9,False,0.05586808458754888
loglog,COCOMO81,RF-SVR,0.5,False,0.9549548551886442
loglog,COCOMO81,KNN-SVR,1.4,False,0.2757850024096641
loglog,NASA93,LR-DT,2.1,True,0.02484121553783003
loglog,NASA93,LR-RF,0.5,False,0.9549548551886442
loglog,NASA93,LR-KNN,2.3000000000000003,True,0.010067140820813614
loglog,NASA93,LR-SVR,0.6000000000000001,False,0.9153201820711789
loglog,NASA93,DT-RF,1.6,False,0.15711465685912285
loglog,NASA93,DT-KNN,0.20000000000000018,False,0.9986029912287665
loglog,NASA93,DT-SVR,1.5,False,0.21087650496353805
loglog,NASA93,RF-KNN,1.8000000000000003,False,0.08083088343226463
loglog,NASA93,RF-SVR,0.10000000000000009,False,0.9999102168567932
loglog,NASA93,KNN-SVR,1.7000000000000002,False,0.1141119531735948
loglog,Desharnais,LR-DT,1.9,False,0.05586808458754888
loglog,Desharnais,LR-RF,0.10000000000000009,False,0.9999102168567932
loglog,Desharnais,LR-KNN,0.2999999999999998,False,0.9932470998209948
loglog,Desharnais,LR-SVR,0.30000000000000027,False,0.9932470998209948
loglog,Desharnais,DT-RF,1.7999999999999998,False,0.08083088343226463
loglog,Desharnais,DT-KNN,1.6,False,0.15711465685912285
loglog,Desharnais,DT-SVR,2.2,True,0.015994970542026254
loglog,Desharnais,RF-KNN,0.19999999999999973,False,0.9986029912287665
loglog,Desharnais,RF-SVR,0.40000000000000036,False,0.9799833382926706
loglog,Desharnais,KNN-SVR,0.6000000000000001,False,0.9153201820711789
