dataset,spec,algorithm,fold,MAE,RMSE,MMRE,MdMRE,PRED25,SA
COCOMO81,raw,LR,1,1514.2305007388993,1937.7731664374003,33.61422146687805,27.483200444004062,14.285714285714285,-72.17616337423294
COCOMO81,raw,LR,2,812.0362372480048,1068.5555448311059,54.524033081990744,1.9190388169947425,14.285714285714285,-3.5271383005796464
COCOMO81,raw,LR,3,1545.5513259601146,3374.1677761530295,11.023285244752813,1.4607228732769804,14.285714285714285,23.23390737728005
COCOMO81,raw,LR,4,1039.392531792139,1456.0314529486393,17.238884274772847,5.6698144173025815,0.0,30.76422670109089
COCOMO81,raw,LR,5,1187.5700583855667,1618.5175340052992,13.087851829335323,9.794820252729462,0.0,-45.09735103962485
COCOMO81,raw,LR,6,1103.8124815206932,1296.0422035916808,7.326840454063491,3.0395141565657275,0.0,-46.17100503445612
COCOMO81,raw,LR,7,576.0352417083653,792.2635100334862,8.637682677951434,1.1425751027691424,0.0,39.58404233806143
COCOMO81,raw,LR,8,700.80063006993,794.0229614369723,18.387679801091803,3.4105862738827017,0.0,8.48854226064637
COCOMO81,raw,LR,9,762.0891353538697,1251.9341389366973,11.383397299864074,1.128399038115514,33.33333333333333,58.20940502443393
COCOMO81,raw,LR,10,511.03580709288207,638.9951160322739,19.070987584726584,17.73575727520532,0.0,35.197202677711836
COCOMO81,raw,DT,1,367.42857142857144,706.7236275336248,1.7833757396213517,1.5057471264367817,14.285714285714285,58.22139250809138
COCOMO81,raw,DT,2,203.57142857142858,322.75753836499086,1.0183287236160332,0.39276485788113696,14.285714285714285,74.04651852584226
COCOMO81,raw,DT,3,814.157142857143,1894.9006536340783,0.6544459988188992,0.5,14.285714285714285,59.561574185059854
COCOMO81,raw,DT,4,724.5,1613.1128809437566,1.375326235635339,0.9228260869565217,0.0,51.739774704200904
COCOMO81,raw,DT,5,242.33333333333334,356.60669277697707,0.9641152054078478,0.7646929824561404,0.0,70.39170490449236
COCOMO81,raw,DT,6,156.5,220.34026716270753,0.6130430386078779,0.6998556998556998,16.666666666666664,79.27568072397854
COCOMO81,raw,DT,7,268.23333333333335,436.6508826663852,1.7766391678102387,0.342700671570195,50.0,71.86704469308864
COCOMO81,raw,DT,8,450.1666666666667,672.351470586627,1.7481512857375685,1.0721854904447061,0.0,41.216651177637154
COCOMO81,raw,DT,9,509.5,929.8310778487313,0.975782524464568,0.6867476970795419,16.666666666666664,72.06060662423168
COCOMO81,raw,DT,10,178.23333333333335,386.88584879780757,1.0340519437936055,0.6551451708473237,33.33333333333333,77.39880764563219
COCOMO81,raw,RF,1,342.1544285714285,561.9223958571656,3.8750761112550656,1.8687356321839081,14.285714285714285,61.09519867405599
COCOMO81,raw,RF,2,166.58928571428572,284.44433024834325,0.8866865543616201,0.7531941544885177,14.285714285714285,78.76140099364758
COCOMO81,raw,RF,3,1190.4158571428572,2888.2783098340537,0.8868409606642899,0.7047804878048781,28.57142857142857,40.873154832166705
COCOMO81,raw,RF,4,548.9723333333333,1223.3727198061922,1.3572085130059655,0.6575448626893939,33.33333333333333,63.43198276352355
COCOMO81,raw,RF,5,819.3238333333334,1719.1917866296458,2.3513488234352486,0.9243289473684211,0.0,-0.10501445439827783
COCOMO81,raw,RF,6,100.18833333333332,114.18470176283101,0.5890796803944266,0.4954340542187023,16.666666666666664,86.73268365666158
COCOMO81,raw,RF,7,758.1208333333334,1261.1824230560385,2.651669525496653,1.5353307586477989,16.666666666666664,20.486468790586322
COCOMO81,raw,RF,8,358.59799999999996,543.4535112147742,1.6638872413173116,1.30526167754897,0.0,53.17380676563865
COCOMO81,raw,RF,9,630.7556666666667,1135.1556987125894,2.834559426093209,0.39562268089053804,16.666666666666664,65.41132346419039
COCOMO81,raw,RF,10,155.117,300.42071492103645,2.169400986594413,1.1175597760895641,16.666666666666664,80.33011508640843
COCOMO81,raw,KNN,1,390.7428571428572,624.3195701836405,7.034571568878256,3.8595744680851065,14.285714285714285,55.57043265479451
COCOMO81,raw,KNN,2,228.11428571428573,340.2642502526529,1.5374697688683228,0.8863049095607235,0.0,70.9175303733789
COCOMO81,raw,KNN,3,1533.6571428571428,3644.3008923915318,1.538833110420566,0.8440877192982457,0.0,23.824680356745553
COCOMO81,raw,KNN,4,653.0333333333334,1476.2465986412974,1.0615487895256919,0.7563285024154589,16.666666666666664,56.50029566275592
COCOMO81,raw,KNN,5,263.76666666666665,366.9223441910654,2.1074060188495913,0.7284330063163553,0.0,67.77297949233123
