dataset,spec,algorithm,mean_rank_MAE_over_partitions,times_ranked_first
COCOMO81,raw,LR,5.0,0
COCOMO81,raw,DT,1.7,5
COCOMO81,raw,RF,1.5,5
COCOMO81,raw,KNN,2.8,0
COCOMO81,raw,SVR,4.0,0
COCOMO81,semilog,LR,5.0,0
COCOMO81,semilog,DT,2.5,1
COCOMO81,semilog,RF,1.1,9
COCOMO81,semilog,KNN,2.8,0
COCOMO81,semilog,SVR,3.6,0
COCOMO81,loglog,LR,1.0,10
COCOMO81,loglog,DT,3.8,0
COCOMO81,loglog,RF,2.1,0
COCOMO81,loglog,KNN,4.7,0
COCOMO81,loglog,SVR,3.4,0
NASA93,raw,LR,2.9,0
NASA93,raw,DT,2.4,0
NASA93,raw,RF,1.0,10
NASA93,raw,KNN,3.7,0
NASA93,raw,SVR,5.0,0
NASA93,semilog,LR,5.0,0
NASA93,semilog,DT,3.1,0
NASA93,semilog,RF,1.0,10
NASA93,semilog,KNN,3.8,0
NASA93,semilog,SVR,2.1,0
NASA93,loglog,LR,1.1,9
NASA93,loglog,DT,4.1,0
NASA93,loglog,RF,1.9,1
NASA93,loglog,KNN,4.9,0
NASA93,loglog,SVR,3.0,0
Desharnais,raw,LR,2.2,3
Desharnais,raw,DT,4.2,0
Desharnais,raw,RF,2.2,2
Desharnais,raw,KNN,1.6,5
Desharnais,raw,SVR,4.8,0
Desharnais,semilog,LR,2.8,2
Desharnais,semilog,DT,5.0,0
Desharnais,semilog,RF,2.8,2
Desharnais,semilog,KNN,2.5,4
Desharnais,semilog,SVR,1.9,2
Desharnais,loglog,LR,1.1,9
Desharnais,loglog,DT,5.0,0
Desharnais,loglog,RF,3.7,0
Desharnais,loglog,KNN,2.7,1
Desharnais,loglog,SVR,2.5,0
