dataset,rank,feature,mean_abs_shap,share_percent,spearman_feature_vs_shap
COCOMO81,1,loc,1.1650838170369284,58.089609780442,0.9818164445783991
COCOMO81,2,time,0.19338349363961468,9.641857108678513,0.9336050172828217
COCOMO81,3,stor,0.10369467623806608,5.1700857834399105,0.8855138799338297
COCOMO81,4,rely,0.08189159586320305,4.083011692746174,0.8326725588512369
COCOMO81,5,modp,0.06193444310560675,3.0879732250711096,0.9323204897475321
COCOMO81,6,aexp,0.054650105775704665,2.724785352391468,0.7775474071550801
COCOMO81,7,tool,0.05026583681676065,2.50619123128757,0.7570520422813714
COCOMO81,8,sced,0.04727991011200692,2.3573166914683905,0.7487466710732636
COCOMO81,9,data,0.043279096036444094,2.1578411472585284,0.5114625679609857
COCOMO81,10,pcap,0.04271637661237958,2.129784666444199,0.882331866762798
COCOMO81,11,virt,0.03768857325201757,1.8791047316743494,0.9010057232563358
COCOMO81,12,acap,0.034763521431439924,1.7332653368082709,0.8377089740897131
COCOMO81,13,lexp,0.031383896240148854,1.5647614869603355,0.8589240741426253
COCOMO81,14,vexp,0.02825315783450031,1.408666818362769,0.921090284435015
COCOMO81,15,turn,0.016058012418302597,0.8006322477304855,0.7944800739843159
COCOMO81,16,cplx,0.013339942294575823,0.6651126992359229,-0.04731190998002354
NASA93,1,equivphyskloc,1.0638375366999921,68.54353734197618,0.9794898234451084
NASA93,2,time,0.1814232110930461,11.689180175792462,0.8504866810172997
NASA93,3,rely,0.04502867982447022,2.901218363268613,0.8956667089583858
NASA93,4,mode_semidetached,0.04056180881643845,2.613415828409233,-0.5712029556138788
NASA93,5,lexp,0.03668415349619676,2.363576728853891,-0.39693829723799456
NASA93,6,sced,0.030620203756209784,1.9728736834133371,0.9260867148913839
NASA93,7,cplx,0.022420759578796443,1.444579758100874,0.28818195262252655
NASA93,8,turn,0.018671476797045294,1.2030117597072802,0.7303462297829724
NASA93,9,mode_organic,0.01609770430149955,1.037182424802038,-0.30610736969751556
NASA93,10,modp,0.015041162833002908,0.9691089764596447,-0.39087009721840427
NASA93,11,vexp,0.014917495036131028,0.9611410039446101,0.46230534695644343
NASA93,12,stor,0.013655298992335163,0.8798171375869839,0.8394812356139991
NASA93,13,data,0.01305886153483987,0.8413884003694599,0.6446317163575072
NASA93,14,aexp,0.011337404556648866,0.7304741426969412,-0.7174875932054201
NASA93,15,acap,0.00880411355713496,0.5672530490307932,-0.4609791001237531
NASA93,16,tool,0.00859286082443001,0.5536419391825047,-0.3195306838253147
NASA93,17,virt,0.006631726175527977,0.42728513995107475,0.18069763110119816
NASA93,18,pcap,0.004676579467109511,0.30131414645405247,0.20839513053319278
Desharnais,1,PointsNonAjust,0.33959927932668815,36.714761642914546,0.9414780348706737
Desharnais,2,Language_3,0.1871322118951619,20.23124009292417,-0.5822961668351692
Desharnais,3,Length,0.11827853078281064,12.787330037257101,0.388202118713071
Desharnais,4,Entities,0.09257346392470624,10.008303519351536,0.8831204769573757
Desharnais,5,PointsAdjust,0.06753015362941779,7.300820835454081,0.8953781847088317
Desharnais,6,Envergure,0.04544676601672536,4.913341350587055,0.8879317406234877
Desharnais,7,TeamExp,0.026065545760742083,2.8179986176517198,-0.7147594301214578
Desharnais,8,Transactions,0.017439003244233205,1.885365742446435,0.2701782525556433
Desharnais,9,ManagerExp,0.01444025494914824,1.561165028300548,-0.0074146123957418986
Desharnais,10,YearEnd,0.013503550550342995,1.4598960303209594,-0.7009885309443372
Desharnais,11,Language_2,0.0029578313679244753,0.31977710279183374,-0.23618235898863932
