spec,dataset,pair,n_folds,p_fold_raw,p_fold_holm,n_projects,p_project_raw,p_project_holm,median_AE_first,median_AE_second,A12_first_lower_error,cliffs_delta,magnitude,paired_win_rate_first
semilog,COCOMO81,LR-DT,10,0.76953125,1.0,63,0.8802799880320304,1.0,67.24970271690381,78.99999999999994,0.5076845553036029,0.015369110607205805,negligible,0.5079365079365079
semilog,COCOMO81,LR-RF,10,0.00390625,0.0390625,63,0.03804500372997154,0.2663150261098008,67.24970271690381,63.218574183453086,0.4409171075837742,-0.11816578483245155,negligible,0.42857142857142855
semilog,COCOMO81,LR-KNN,10,0.76953125,1.0,63,0.04634733128951559,0.27808398773709353,67.24970271690381,91.36458998328334,0.5197782816830436,0.03955656336608726,negligible,0.6507936507936508
semilog,COCOMO81,LR-SVR,10,1.0,1.0,63,0.1666915350204643,0.6667661400818572,67.24970271690381,84.40496103523077,0.5187704711514235,0.03754094230284699,negligible,0.6507936507936508
semilog,COCOMO81,DT-RF,10,0.048828125,0.390625,63,0.001797346767799614,0.016176120910196528,78.99999999999994,63.218574183453086,0.4394053917863442,-0.12118921642731162,small,0.31746031746031744
semilog,COCOMO81,DT-KNN,10,0.845703125,1.0,63,0.6464575325121297,1.0,78.99999999999994,91.36458998328334,0.5112118921642731,0.022423784328546192,negligible,0.6031746031746031
semilog,COCOMO81,DT-SVR,10,0.76953125,1.0,63,0.8479843229404702,1.0,78.99999999999994,84.40496103523077,0.5122197026958931,0.02443940539178624,negligible,0.5238095238095238
semilog,COCOMO81,RF-KNN,10,0.013671875,0.123046875,63,0.0015257214179358188,0.015257214179358188,63.218574183453086,91.36458998328334,0.5744520030234316,0.14890400604686316,small,0.6666666666666666
semilog,COCOMO81,RF-SVR,10,0.048828125,0.390625,63,0.0059208315740763,0.0473666525926104,63.218574183453086,84.40496103523077,0.5749559082892416,0.14991181657848318,small,0.6825396825396826
semilog,COCOMO81,KNN-SVR,10,0.6953125,1.0,63,0.05974393352512608,0.2987196676256304,91.36458998328334,84.40496103523077,0.4930713025951121,-0.01385739480977577,negligible,0.42857142857142855
semilog,NASA93,LR-DT,10,0.845703125,1.0,93,0.6360692244707473,1.0,110.59886547099069,109.99999999999997,0.46271245230662505,-0.07457509538674989,negligible,0.45161290322580644
semilog,NASA93,LR-RF,10,0.083984375,0.587890625,93,0.004549756574360287,0.03427228702591807,110.59886547099069,68.90451826411504,0.40443981963232745,-0.1911203607353451,small,0.34408602150537637
semilog,NASA93,LR-KNN,10,0.625,1.0,93,0.3071977585899084,1.0,110.59886547099069,142.5894226767109,0.5006359116660886,0.0012718233321771244,negligible,0.5268817204301075
semilog,NASA93,LR-SVR,10,0.556640625,1.0,93,0.5461921030326913,1.0,110.59886547099069,141.36205196267974,0.5153196901375882,0.03063938027517632,negligible,0.5161290322580645
semilog,NASA93,DT-RF,10,0.048828125,0.390625,93,0.004284035878239759,0.03427228702591807,109.99999999999997,68.90451826411504,0.4569314371603654,-0.08613712567926923,negligible,0.40860215053763443
semilog,NASA93,DT-KNN,10,0.921875,1.0,93,0.2946649991879513,1.0,109.99999999999997,142.5894226767109,0.5375187882992254,0.07503757659845078,negligible,0.5698924731182796
semilog,NASA93,DT-SVR,10,0.556640625,1.0,93,0.24957025647766962,1.0,109.99999999999997,141.36205196267974,0.5537056307087524,0.1074112614175049,negligible,0.6236559139784946
